crop_path,predicted_text,source_image,left,top,right,bottom
ocr_lab/dataset/rec_images/screenshot-1776354441__013.png,5,screenshot-1776354441.png,258,1046,291,1096
ocr_lab/dataset/rec_images/screenshot-1776354441__014.png,2,screenshot-1776354441.png,261,1221,289,1268
ocr_lab/dataset/rec_images/screenshot-1776354441__015.png,3,screenshot-1776354441.png,431,1218,464,1266
ocr_lab/dataset/rec_images/screenshot-1776354441__016.png,+,screenshot-1776354441.png,594,1221,635,1263
ocr_lab/dataset/rec_images/screenshot-1776354498__000.png,21:18,screenshot-1776354498.png,42,28,99,53
ocr_lab/dataset/rec_images/screenshot-1776354498__001.png,18/S,screenshot-1776354498.png,481,28,528,55
ocr_lab/dataset/rec_images/screenshot-1776354498__002.png,y6,screenshot-1776354498.png,519,30,543,53
ocr_lab/dataset/rec_images/screenshot-1776354498__003.png,5G,screenshot-1776354498.png,557,27,594,57
ocr_lab/dataset/rec_images/screenshot-1776354498__004.png,58,screenshot-1776354498.png,611,32,646,52
ocr_lab/dataset/rec_images/screenshot-1776354498__005.png,品,screenshot-1776354498.png,452,110,665,164
ocr_lab/dataset/rec_images/screenshot-1776354498__006.png,AC,screenshot-1776354498.png,70,706,134,749
ocr_lab/dataset/rec_images/screenshot-1776354498__007.png,%,screenshot-1776354498.png,254,707,296,747
ocr_lab/dataset/rec_images/screenshot-1776354498__008.png,7,screenshot-1776354498.png,92,876,118,921
ocr_lab/dataset/rec_images/screenshot-1776354498__009.png,8,screenshot-1776354498.png,258,874,291,922
ocr_lab/dataset/rec_images/screenshot-1776354498__010.png,9,screenshot-1776354498.png,429,876,464,922
ocr_lab/dataset/rec_images/screenshot-1776354498__011.png,X,screenshot-1776354498.png,601,882,637,917
ocr_lab/dataset/rec_images/screenshot-1776354498__012.png,4,screenshot-1776354498.png,88,1048,125,1091
ocr_lab/dataset/rec_images/screenshot-1776354498__013.png,5,screenshot-1776354498.png,258,1046,291,1096
ocr_lab/dataset/rec_images/screenshot-1776354498__014.png,2,screenshot-1776354498.png,261,1221,289,1268
ocr_lab/dataset/rec_images/screenshot-1776354498__015.png,3,screenshot-1776354498.png,431,1218,464,1266
ocr_lab/dataset/rec_images/screenshot-1776354498__016.png,+,screenshot-1776354498.png,594,1221,635,1263
ocr_lab/dataset/rec_images/screenshot-1776354498__017.png,一,screenshot-1776354498.png,168,1547,192,1572
ocr_lab/dataset/rec_images/screenshot-1776355295__000.png,21:31,screenshot-1776355295.png,36,28,93,53
ocr_lab/dataset/rec_images/screenshot-1776355295__001.png,3.800,screenshot-1776355295.png,474,28,523,55
ocr_lab/dataset/rec_images/screenshot-1776355295__002.png,5G,screenshot-1776355295.png,536,20,593,62
ocr_lab/dataset/rec_images/screenshot-1776355295__003.png,yG,screenshot-1776355295.png,519,30,542,52
ocr_lab/dataset/rec_images/screenshot-1776355295__004.png,60,screenshot-1776355295.png,604,30,646,55
ocr_lab/dataset/rec_images/screenshot-1776355295__005.png,Dive into D...,screenshot-1776355295.png,28,279,145,302
ocr_lab/dataset/rec_images/screenshot-1776355295__006.png,ISR : Stude...,screenshot-1776355295.png,162,274,281,308
ocr_lab/dataset/rec_images/screenshot-1776355295__007.png,xlms.rkmveri,screenshot-1776355295.png,294,281,426,304
ocr_lab/dataset/rec_images/screenshot-1776355295__008.png,Skymovies...,screenshot-1776355295.png,432,277,558,309
ocr_lab/dataset/rec_images/screenshot-1776355295__009.png,Speech an...,screenshot-1776355295.png,573,279,694,306
ocr_lab/dataset/rec_images/screenshot-1776355295__010.png,44,screenshot-1776355295.png,516,373,556,401
ocr_lab/dataset/rec_images/screenshot-1776355295__011.png,f,screenshot-1776355295.png,466,402,534,492
ocr_lab/dataset/rec_images/screenshot-1776355295__012.png,Deep,screenshot-1776355295.png,22,506,81,530
ocr_lab/dataset/rec_images/screenshot-1776355295__013.png,Leam..,screenshot-1776355295.png,80,506,147,530
ocr_lab/dataset/rec_images/screenshot-1776355295__014.png,Google Gro...,screenshot-1776355295.png,159,505,286,528
ocr_lab/dataset/rec_images/screenshot-1776355295__015.png,Facebook,screenshot-1776355295.png,448,508,549,526
ocr_lab/dataset/rec_images/screenshot-1776355295__016.png,Google Ge...,screenshot-1776355295.png,571,501,694,535
ocr_lab/dataset/rec_images/screenshot-1776355295__017.png,nat,screenshot-1776355295.png,329,513,362,525
ocr_lab/dataset/rec_images/screenshot-1776355295__018.png,Me,screenshot-1776355295.png,595,628,692,698
ocr_lab/dataset/rec_images/screenshot-1776355295__019.png,C,screenshot-1776355295.png,114,692,130,707
ocr_lab/dataset/rec_images/screenshot-1776355295__020.png,Lectures o.,screenshot-1776355295.png,29,733,133,752
ocr_lab/dataset/rec_images/screenshot-1776355295__021.png,nools,screenshot-1776355295.png,230,733,284,752
ocr_lab/dataset/rec_images/screenshot-1776355295__022.png,NSPOTR,screenshot-1776355295.png,309,726,407,754
ocr_lab/dataset/rec_images/screenshot-1776355295__023.png,Clean,screenshot-1776355295.png,448,728,515,757
ocr_lab/dataset/rec_images/screenshot-1776355295__024.png,up,screenshot-1776355295.png,516,735,545,755
ocr_lab/dataset/rec_images/screenshot-1776355295__025.png,Medium,screenshot-1776355295.png,587,728,680,757
ocr_lab/dataset/rec_images/screenshot-1776355295__026.png,rapido,screenshot-1776355295.png,38,871,133,901
ocr_lab/dataset/rec_images/screenshot-1776355295__027.png,Rapido,screenshot-1776355295.png,48,956,128,979
ocr_lab/dataset/rec_images/screenshot-1776355295__028.png,Brave,screenshot-1776355295.png,186,954,255,981
ocr_lab/dataset/rec_images/screenshot-1776355295__029.png,Firefox,screenshot-1776355295.png,324,954,398,979
ocr_lab/dataset/rec_images/screenshot-1776355295__030.png,GitHub,screenshot-1776355295.png,458,952,535,980
ocr_lab/dataset/rec_images/screenshot-1776355295__031.png,QSEARCH,screenshot-1776355295.png,296,1283,421,1312
ocr_lab/dataset/rec_images/screenshot-1776355295__032.png,6,screenshot-1776355295.png,173,1407,251,1460
ocr_lab/dataset/rec_images/screenshot-1776355295__033.png,0,screenshot-1776355295.png,343,1547,365,1571
ocr_lab/dataset/rec_images/screenshot-1776355404__000.png,21:33,screenshot-1776355404.png,35,28,95,53
ocr_lab/dataset/rec_images/screenshot-1776355404__001.png,5.800,screenshot-1776355404.png,471,27,542,57
ocr_lab/dataset/rec_images/screenshot-1776355404__002.png,5G,screenshot-1776355404.png,542,27,592,58
ocr_lab/dataset/rec_images/screenshot-1776355404__003.png,604,screenshot-1776355404.png,599,30,668,55
ocr_lab/dataset/rec_images/screenshot-1776355404__004.png,Dive into D...,screenshot-1776355404.png,28,279,145,302
ocr_lab/dataset/rec_images/screenshot-1776355404__005.png,ISR : Stude...,screenshot-1776355404.png,162,274,281,308
ocr_lab/dataset/rec_images/screenshot-1776355404__006.png,xlms.rkmveri,screenshot-1776355404.png,294,281,426,304
ocr_lab/dataset/rec_images/screenshot-1776355404__007.png,Skymovies...,screenshot-1776355404.png,432,277,558,309
ocr_lab/dataset/rec_images/screenshot-1776355404__008.png,Speech an...,screenshot-1776355404.png,573,279,694,306
ocr_lab/dataset/rec_images/screenshot-1776355404__009.png,44,screenshot-1776355404.png,516,373,556,401
ocr_lab/dataset/rec_images/screenshot-1776355404__010.png,f,screenshot-1776355404.png,466,402,534,492
ocr_lab/dataset/rec_images/screenshot-1776355404__011.png,Deep,screenshot-1776355404.png,22,506,81,530
ocr_lab/dataset/rec_images/screenshot-1776355404__012.png,Leam..,screenshot-1776355404.png,78,506,147,530
ocr_lab/dataset/rec_images/screenshot-1776355404__013.png,Google Gro...,screenshot-1776355404.png,159,505,286,528
ocr_lab/dataset/rec_images/screenshot-1776355404__014.png,Facebook,screenshot-1776355404.png,448,508,549,526
ocr_lab/dataset/rec_images/screenshot-1776355404__015.png,Google Ge...,screenshot-1776355404.png,571,501,694,535
ocr_lab/dataset/rec_images/screenshot-1776355404__016.png,nat,screenshot-1776355404.png,329,513,362,525
ocr_lab/dataset/rec_images/screenshot-1776355404__017.png,Me,screenshot-1776355404.png,595,628,692,698
ocr_lab/dataset/rec_images/screenshot-1776355404__018.png,C,screenshot-1776355404.png,114,692,130,707
ocr_lab/dataset/rec_images/screenshot-1776355404__019.png,Lectures o.,screenshot-1776355404.png,29,733,133,752
ocr_lab/dataset/rec_images/screenshot-1776355404__020.png,nools,screenshot-1776355404.png,230,733,284,752
ocr_lab/dataset/rec_images/screenshot-1776355404__021.png,NSPOTR,screenshot-1776355404.png,309,726,407,754
ocr_lab/dataset/rec_images/screenshot-1776355404__022.png,Clean,screenshot-1776355404.png,448,728,515,757
ocr_lab/dataset/rec_images/screenshot-1776355404__023.png,up,screenshot-1776355404.png,516,735,545,755
ocr_lab/dataset/rec_images/screenshot-1776355404__024.png,Medium,screenshot-1776355404.png,587,728,680,757
ocr_lab/dataset/rec_images/screenshot-1776355404__025.png,rapido,screenshot-1776355404.png,38,871,133,901
ocr_lab/dataset/rec_images/screenshot-1776355404__026.png,Rapido,screenshot-1776355404.png,48,956,128,979
ocr_lab/dataset/rec_images/screenshot-1776355404__027.png,Brave,screenshot-1776355404.png,186,954,255,981
ocr_lab/dataset/rec_images/screenshot-1776355404__028.png,Firefox,screenshot-1776355404.png,324,954,398,979
ocr_lab/dataset/rec_images/screenshot-1776355404__029.png,GitHub,screenshot-1776355404.png,458,952,535,980
ocr_lab/dataset/rec_images/screenshot-1776355404__030.png,QSEARCH,screenshot-1776355404.png,296,1283,421,1312
ocr_lab/dataset/rec_images/screenshot-1776355404__031.png,6,screenshot-1776355404.png,173,1407,251,1460
ocr_lab/dataset/rec_images/screenshot-1776355404__032.png,0,screenshot-1776355404.png,339,1546,363,1572
ocr_lab/dataset/rec_images/screenshot-1776355465__000.png,21:34,screenshot-1776355465.png,35,28,95,53
ocr_lab/dataset/rec_images/screenshot-1776355465__001.png,5G,screenshot-1776355465.png,540,25,588,58
ocr_lab/dataset/rec_images/screenshot-1776355465__002.png,60,screenshot-1776355465.png,602,32,644,52
ocr_lab/dataset/rec_images/screenshot-1776355465__003.png,Dive into D...,screenshot-1776355465.png,28,279,145,302
ocr_lab/dataset/rec_images/screenshot-1776355465__004.png,ISR : Stude...,screenshot-1776355465.png,162,274,281,308
ocr_lab/dataset/rec_images/screenshot-1776355465__005.png,xlms.rkmveri,screenshot-1776355465.png,294,281,426,304
ocr_lab/dataset/rec_images/screenshot-1776355465__006.png,Skymovies...,screenshot-1776355465.png,432,277,558,309
ocr_lab/dataset/rec_images/screenshot-1776355465__007.png,Speech an...,screenshot-1776355465.png,573,279,694,306
ocr_lab/dataset/rec_images/screenshot-1776355465__008.png,44,screenshot-1776355465.png,516,373,556,401
ocr_lab/dataset/rec_images/screenshot-1776355465__009.png,f,screenshot-1776355465.png,466,402,534,492
ocr_lab/dataset/rec_images/screenshot-1776355465__010.png,Deep,screenshot-1776355465.png,22,506,81,530
ocr_lab/dataset/rec_images/screenshot-1776355465__011.png,Leam..,screenshot-1776355465.png,80,506,147,530
ocr_lab/dataset/rec_images/screenshot-1776355465__012.png,Google Gro...,screenshot-1776355465.png,159,505,286,528
ocr_lab/dataset/rec_images/screenshot-1776355465__013.png,Facebook,screenshot-1776355465.png,448,508,549,526
ocr_lab/dataset/rec_images/screenshot-1776355465__014.png,Google Ge...,screenshot-1776355465.png,571,501,694,535
ocr_lab/dataset/rec_images/screenshot-1776355465__015.png,nat,screenshot-1776355465.png,329,513,362,525
ocr_lab/dataset/rec_images/screenshot-1776355465__016.png,Me,screenshot-1776355465.png,595,628,692,698
ocr_lab/dataset/rec_images/screenshot-1776355465__017.png,C,screenshot-1776355465.png,114,692,130,707
ocr_lab/dataset/rec_images/screenshot-1776355465__018.png,Lectures o.,screenshot-1776355465.png,29,733,133,752
ocr_lab/dataset/rec_images/screenshot-1776355465__019.png,nools,screenshot-1776355465.png,230,733,284,752
ocr_lab/dataset/rec_images/screenshot-1776355465__020.png,NSPOTR,screenshot-1776355465.png,309,726,407,754
ocr_lab/dataset/rec_images/screenshot-1776355465__021.png,Clean,screenshot-1776355465.png,448,728,515,757
ocr_lab/dataset/rec_images/screenshot-1776355465__022.png,up,screenshot-1776355465.png,516,735,545,755
ocr_lab/dataset/rec_images/screenshot-1776355465__023.png,Medium,screenshot-1776355465.png,587,728,680,757
ocr_lab/dataset/rec_images/screenshot-1776355465__024.png,rapido,screenshot-1776355465.png,38,871,133,901
ocr_lab/dataset/rec_images/screenshot-1776355465__025.png,Rapido,screenshot-1776355465.png,48,956,128,979
ocr_lab/dataset/rec_images/screenshot-1776355465__026.png,Brave,screenshot-1776355465.png,186,954,255,981
ocr_lab/dataset/rec_images/screenshot-1776355465__027.png,Firefox,screenshot-1776355465.png,324,954,398,979
ocr_lab/dataset/rec_images/screenshot-1776355465__028.png,GitHub,screenshot-1776355465.png,458,952,535,980
ocr_lab/dataset/rec_images/screenshot-1776355465__029.png,QSEARCH,screenshot-1776355465.png,296,1283,421,1312
ocr_lab/dataset/rec_images/screenshot-1776355465__030.png,6,screenshot-1776355465.png,173,1407,251,1460
ocr_lab/dataset/rec_images/screenshot-1776355583__000.png,21:36,screenshot-1776355583.png,33,28,95,53
ocr_lab/dataset/rec_images/screenshot-1776355583__001.png,1708 #560,screenshot-1776355583.png,471,25,587,60
ocr_lab/dataset/rec_images/screenshot-1776355583__002.png,Q,screenshot-1776355583.png,130,35,147,50
ocr_lab/dataset/rec_images/screenshot-1776355583__003.png,61,screenshot-1776355583.png,601,32,644,52
ocr_lab/dataset/rec_images/screenshot-1776355583__004.png,Dive into D...,screenshot-1776355583.png,28,279,145,302
ocr_lab/dataset/rec_images/screenshot-1776355583__005.png,ISR : Stude...,screenshot-1776355583.png,162,274,281,308
ocr_lab/dataset/rec_images/screenshot-1776355583__006.png,xlms.rkmveri,screenshot-1776355583.png,294,281,426,304
ocr_lab/dataset/rec_images/screenshot-1776355583__007.png,Skymovies...,screenshot-1776355583.png,432,277,558,309
ocr_lab/dataset/rec_images/screenshot-1776355583__008.png,Speech an...,screenshot-1776355583.png,573,279,694,306
ocr_lab/dataset/rec_images/screenshot-1776355583__009.png,44,screenshot-1776355583.png,516,373,556,401
ocr_lab/dataset/rec_images/screenshot-1776355583__010.png,f,screenshot-1776355583.png,466,402,534,492
ocr_lab/dataset/rec_images/screenshot-1776355583__011.png,Deep,screenshot-1776355583.png,22,506,81,530
ocr_lab/dataset/rec_images/screenshot-1776355583__012.png,Leam..,screenshot-1776355583.png,78,506,147,530
ocr_lab/dataset/rec_images/screenshot-1776355583__013.png,Google Gro...,screenshot-1776355583.png,159,505,286,528
ocr_lab/dataset/rec_images/screenshot-1776355583__014.png,Facebook,screenshot-1776355583.png,448,508,549,526
ocr_lab/dataset/rec_images/screenshot-1776355583__015.png,Google Ge...,screenshot-1776355583.png,571,501,694,535
ocr_lab/dataset/rec_images/screenshot-1776355583__016.png,nat,screenshot-1776355583.png,329,513,362,525
ocr_lab/dataset/rec_images/screenshot-1776355583__017.png,Me,screenshot-1776355583.png,595,628,692,698
ocr_lab/dataset/rec_images/screenshot-1776355583__018.png,C,screenshot-1776355583.png,114,692,130,707
ocr_lab/dataset/rec_images/screenshot-1776355583__019.png,Lectures o.,screenshot-1776355583.png,29,733,133,752
ocr_lab/dataset/rec_images/screenshot-1776355583__020.png,nools,screenshot-1776355583.png,230,733,284,752
ocr_lab/dataset/rec_images/screenshot-1776355583__021.png,NSPOTR,screenshot-1776355583.png,309,726,407,754
ocr_lab/dataset/rec_images/screenshot-1776355583__022.png,Clean,screenshot-1776355583.png,448,728,515,757
ocr_lab/dataset/rec_images/screenshot-1776355583__023.png,up,screenshot-1776355583.png,516,735,545,755
ocr_lab/dataset/rec_images/screenshot-1776355583__024.png,Medium,screenshot-1776355583.png,587,728,680,757
ocr_lab/dataset/rec_images/screenshot-1776355583__025.png,rapido,screenshot-1776355583.png,38,871,133,901
ocr_lab/dataset/rec_images/screenshot-1776355583__026.png,Rapido,screenshot-1776355583.png,48,956,128,979
ocr_lab/dataset/rec_images/screenshot-1776355583__027.png,Brave,screenshot-1776355583.png,186,954,255,981
ocr_lab/dataset/rec_images/screenshot-1776355583__028.png,Firefox,screenshot-1776355583.png,324,954,398,979
ocr_lab/dataset/rec_images/screenshot-1776355583__029.png,GitHub,screenshot-1776355583.png,458,952,535,980
ocr_lab/dataset/rec_images/screenshot-1776355583__030.png,QSEARCH,screenshot-1776355583.png,296,1283,421,1312
ocr_lab/dataset/rec_images/screenshot-1776355583__031.png,6,screenshot-1776355583.png,173,1407,251,1460
ocr_lab/dataset/rec_images/screenshot-1776355583__032.png,0,screenshot-1776355583.png,338,1547,363,1569
ocr_lab/dataset/rec_images/screenshot-1776356182__000.png,21:46,screenshot-1776356182.png,35,28,99,53
ocr_lab/dataset/rec_images/screenshot-1776356182__001.png,81 8,screenshot-1776356182.png,472,27,542,57
ocr_lab/dataset/rec_images/screenshot-1776356182__002.png,5G,screenshot-1776356182.png,536,20,592,60
ocr_lab/dataset/rec_images/screenshot-1776356182__003.png,62,screenshot-1776356182.png,602,32,642,52
ocr_lab/dataset/rec_images/screenshot-1776356182__004.png,品,screenshot-1776356182.png,452,110,665,164
ocr_lab/dataset/rec_images/screenshot-1776356182__005.png,AC,screenshot-1776356182.png,70,706,134,751
ocr_lab/dataset/rec_images/screenshot-1776356182__006.png,%,screenshot-1776356182.png,254,707,296,747
ocr_lab/dataset/rec_images/screenshot-1776356182__007.png,7,screenshot-1776356182.png,92,876,118,921
ocr_lab/dataset/rec_images/screenshot-1776356182__008.png,8,screenshot-1776356182.png,258,874,291,922
ocr_lab/dataset/rec_images/screenshot-1776356182__009.png,9,screenshot-1776356182.png,429,876,464,922
ocr_lab/dataset/rec_images/screenshot-1776356182__010.png,X,screenshot-1776356182.png,601,882,637,917
ocr_lab/dataset/rec_images/screenshot-1776356182__011.png,4,screenshot-1776356182.png,88,1048,125,1091
ocr_lab/dataset/rec_images/screenshot-1776356182__012.png,5,screenshot-1776356182.png,258,1046,291,1096
ocr_lab/dataset/rec_images/screenshot-1776356182__013.png,2,screenshot-1776356182.png,261,1221,289,1268
ocr_lab/dataset/rec_images/screenshot-1776356182__014.png,3,screenshot-1776356182.png,431,1218,464,1266
ocr_lab/dataset/rec_images/screenshot-1776356182__015.png,+,screenshot-1776356182.png,594,1221,635,1263
ocr_lab/dataset/rec_images/screenshot-1776356182__016.png,三,screenshot-1776356182.png,159,1546,194,1574
ocr_lab/dataset/rec_images/screenshot-1776356548__000.png,21:52,screenshot-1776356548.png,40,28,102,53
ocr_lab/dataset/rec_images/screenshot-1776356548__001.png,b,screenshot-1776356548.png,216,32,241,53
ocr_lab/dataset/rec_images/screenshot-1776356548__002.png,y,screenshot-1776356548.png,521,30,543,53
ocr_lab/dataset/rec_images/screenshot-1776356548__003.png,561,screenshot-1776356548.png,557,27,590,57
ocr_lab/dataset/rec_images/screenshot-1776356548__004.png,63,screenshot-1776356548.png,611,32,644,52
ocr_lab/dataset/rec_images/screenshot-1776356548__005.png,品,screenshot-1776356548.png,452,110,665,164
ocr_lab/dataset/rec_images/screenshot-1776356548__006.png,AC,screenshot-1776356548.png,70,706,134,749
ocr_lab/dataset/rec_images/screenshot-1776356548__007.png,%,screenshot-1776356548.png,254,707,296,747
ocr_lab/dataset/rec_images/screenshot-1776356548__008.png,7,screenshot-1776356548.png,92,876,118,921
ocr_lab/dataset/rec_images/screenshot-1776356548__009.png,8,screenshot-1776356548.png,258,874,291,922
ocr_lab/dataset/rec_images/screenshot-1776356548__010.png,9,screenshot-1776356548.png,429,876,464,922
ocr_lab/dataset/rec_images/screenshot-1776356548__011.png,X,screenshot-1776356548.png,601,882,637,917
ocr_lab/dataset/rec_images/screenshot-1776356548__012.png,4,screenshot-1776356548.png,88,1048,125,1091
ocr_lab/dataset/rec_images/screenshot-1776356548__013.png,5,screenshot-1776356548.png,258,1046,291,1096
ocr_lab/dataset/rec_images/screenshot-1776356548__014.png,2,screenshot-1776356548.png,261,1221,289,1268
ocr_lab/dataset/rec_images/screenshot-1776356548__015.png,3,screenshot-1776356548.png,431,1218,464,1266
ocr_lab/dataset/rec_images/screenshot-1776356548__016.png,+,screenshot-1776356548.png,594,1221,635,1263
ocr_lab/dataset/rec_images/screenshot-1776526798__000.png,21:10,screenshot-1776526798.png,42,28,99,53
ocr_lab/dataset/rec_images/screenshot-1776526798__001.png,18/9,screenshot-1776526798.png,505,27,549,55
ocr_lab/dataset/rec_images/screenshot-1776526798__002.png,yG,screenshot-1776526798.png,545,30,568,53
ocr_lab/dataset/rec_images/screenshot-1776526798__003.png,56,screenshot-1776526798.png,569,25,623,58
ocr_lab/dataset/rec_images/screenshot-1776526798__004.png,100,screenshot-1776526798.png,627,28,673,55
ocr_lab/dataset/rec_images/screenshot-1776526798__005.png,Gmo,screenshot-1776526798.png,47,172,125,195
ocr_lab/dataset/rec_images/screenshot-1776526798__006.png,000,screenshot-1776526798.png,47,227,125,252
ocr_lab/dataset/rec_images/screenshot-1776526798__007.png,Google,screenshot-1776526798.png,46,279,129,308
ocr_lab/dataset/rec_images/screenshot-1776526798__008.png,Featured,screenshot-1776526798.png,178,282,270,301
ocr_lab/dataset/rec_images/screenshot-1776526798__009.png,Office,screenshot-1776526798.png,329,279,393,304
ocr_lab/dataset/rec_images/screenshot-1776526798__010.png,The 5 FREE...,screenshot-1776526798.png,567,274,698,308
ocr_lab/dataset/rec_images/screenshot-1776526798__011.png,QSEARCH,screenshot-1776526798.png,298,1285,421,1308
ocr_lab/dataset/rec_images/screenshot-1776529150__000.png,21:49,screenshot-1776529150.png,50,28,112,53
ocr_lab/dataset/rec_images/screenshot-1776529150__001.png,b,screenshot-1776529150.png,223,32,248,52
ocr_lab/dataset/rec_images/screenshot-1776529150__002.png,606,screenshot-1776529150.png,512,27,556,55
ocr_lab/dataset/rec_images/screenshot-1776529150__003.png,yG,screenshot-1776529150.png,552,30,578,53
ocr_lab/dataset/rec_images/screenshot-1776529150__004.png,5G,screenshot-1776529150.png,587,27,625,57
